Alice's Adventures in Wonderland	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/a/alices-adventures-in-wonderland/book-summary
Pride and Prejudice	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/p/pride-and-prejudice/book-summary
Gulliver's Travels	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/g/gullivers-travels/book-summary
Wuthering Heights	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/w/wuthering-heights/wuthering-heights-at-a-glance
Frankenstein	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/f/frankenstein/frankenstein-at-a-glance
Jude the Obscure	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/j/jude-the-obscure/book-summary
Siddhartha	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/s/siddhartha/about-siddhartha
Ivanhoe	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/i/ivanhoe/book-summary
Treasure Island	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/t/treasure-island/book-summary
David Copperfield	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/d/david-copperfield/book-summary
Sister Carrie	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/s/sister-carrie/book-summary
Dr. Jekyll and Mr. Hyde	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/d/dr-jekyll-and-mr-hyde/book-summary
The Turn of the Screw	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/t/the-turn-of-the-screw/book-summary
Candide	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/c/candide/book-summary
Paradise Lost	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/p/paradise-lost/poem-summary
My Antonia	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/m/my-aacutentonia/book-summary
Heart of Darkness	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/h/heart-of-darkness/heart-of-darkness-at-a-glance
Green Mansions	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/g/green-mansions/book-summary
The Power and the Glory	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/p/the-power-and-the-glory/about-the-power-and-the-glory
The Return of the Native	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/r/the-return-of-the-native/book-summary
The Pickwick Papers	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/p/the-pickwick-papers/book-summary
The Rise of Silas Lapham	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/r/the-rise-of-silas-lapham/about-the-rise-of-silas-lapham
The Red Badge of Courage	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/r/the-red-badge-of-courage/book-summary
The Mill on the Floss	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/m/the-mill-on-the-floss/book-summary
The Way of All Flesh	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/w/the-way-of-all-flesh/book-summary
Incidents in the Life of a Slave Girl	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/i/incidents-in-the-life-of-a-slave-girl/about-incidents-in-the-life-of-a-slave-girl
Don Juan	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/d/don-juan/poem-summary
The Secret Sharer	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/s/the-secret-sharer/story-summary
Idylls of the King	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/i/idylls-of-the-king/about-idylls-of-the-king
The Three Musketeers	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/t/the-three-musketeers/book-summary
Bleak House	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/b/bleak-house/book-summary
The Adventures of Huckleberry Finn	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/a/the-adventures-of-huckleberry-finn/the-adventures-of-huckleberry-finn-at-a-glance
Anthem	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/a/anthem/book-summary
Ethan Frome	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/e/ethan-frome/book-summary
The Jungle	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/j/the-jungle/about-the-jungle
The Ambassadors	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/a/the-ambassadors/book-summary
The Age of Innocence	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/a/the-age-of-innocence/book-summary
The Education of Henry Adams	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/e/the-education-of-henry-adams/book-summary
